Device,Test Name,Test Status,Message(s),Test description,Test category
c1-borderleaf2,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
c1-borderleaf2,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
c1-borderleaf2,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
c1-borderleaf2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c1-borderleaf2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c1-borderleaf2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c1-borderleaf2,VerifyCoredump,success,,Verifies there are no core dump files.,System
c1-borderleaf2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c1-borderleaf2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c1-borderleaf2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c1-borderleaf2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c1-borderleaf2,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
c1-leaf1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c1-leaf1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c1-leaf1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c1-leaf1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c1-leaf1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c1-leaf1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
c1-leaf1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c1-leaf1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c1-leaf1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c1-leaf1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c1-leaf1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c1-leaf1,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
c1-leaf1,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
c1-leaf1,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
c1-leaf1,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
c1-leaf1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c1-leaf1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c1-leaf1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c1-leaf1,VerifyCoredump,success,,Verifies there are no core dump files.,System
c1-leaf1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c1-leaf1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c1-leaf1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c1-leaf1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c1-leaf1,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
c1-leaf2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c1-leaf2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c1-leaf2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c1-leaf2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c1-leaf2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c1-leaf2,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
c1-leaf2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c1-leaf2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c1-leaf2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c1-leaf2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c1-leaf2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c1-leaf2,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
c1-leaf2,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
c1-leaf2,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
c1-leaf2,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
c1-leaf2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c1-leaf2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c1-leaf2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c1-leaf2,VerifyCoredump,success,,Verifies there are no core dump files.,System
c1-leaf2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c1-leaf2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c1-leaf2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c1-leaf2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c1-leaf2,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
c1-leaf3,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c1-leaf3,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c1-leaf3,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c1-leaf3,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c1-leaf3,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c1-leaf3,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
c1-leaf3,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c1-leaf3,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c1-leaf3,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c1-leaf3,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c1-leaf3,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c1-leaf3,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
c1-leaf3,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
c1-leaf3,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
c1-leaf3,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
c1-leaf3,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c1-leaf3,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c1-leaf3,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c1-leaf3,VerifyCoredump,success,,Verifies there are no core dump files.,System
c1-leaf3,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c1-leaf3,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c1-leaf3,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c1-leaf3,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c1-leaf3,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
c1-leaf4,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c1-leaf4,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c1-leaf4,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c1-leaf4,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c1-leaf4,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c1-leaf4,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
c1-leaf4,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c1-leaf4,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c1-leaf4,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c1-leaf4,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c1-leaf4,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c1-leaf4,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
c1-leaf4,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
c1-leaf4,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
c1-leaf4,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
c1-leaf4,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c1-leaf4,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c1-leaf4,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c1-leaf4,VerifyCoredump,success,,Verifies there are no core dump files.,System
c1-leaf4,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c1-leaf4,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c1-leaf4,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c1-leaf4,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c1-leaf4,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
c1-leaf5,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c1-leaf5,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c1-leaf5,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c1-leaf5,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c1-leaf5,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c1-leaf5,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
c1-leaf5,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c1-leaf5,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c1-leaf5,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c1-leaf5,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c1-leaf5,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c1-leaf5,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
c1-leaf5,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
c1-leaf5,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
c1-leaf5,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
c1-leaf5,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c1-leaf5,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c1-leaf5,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c1-leaf5,VerifyCoredump,success,,Verifies there are no core dump files.,System
c1-leaf5,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c1-leaf5,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c1-leaf5,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c1-leaf5,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c1-leaf5,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
c1-leaf6,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c1-leaf6,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c1-leaf6,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c1-leaf6,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c1-leaf6,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c1-leaf6,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
c1-leaf6,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c1-leaf6,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c1-leaf6,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c1-leaf6,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c1-leaf6,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
c1-leaf6,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
c1-leaf6,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
c1-leaf6,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c1-leaf6,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c1-leaf6,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c1-leaf6,VerifyCoredump,success,,Verifies there are no core dump files.,System
c1-leaf6,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c1-leaf6,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c1-leaf6,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c1-leaf6,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c1-leaf6,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
c1-spine1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c1-spine1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c1-spine1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c1-spine1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c1-spine1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c1-spine1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c1-spine1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c1-spine1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c1-spine1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c1-spine1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c1-spine1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c1-spine1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c1-spine1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c1-spine1,VerifyCoredump,success,,Verifies there are no core dump files.,System
c1-spine1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c1-spine1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c1-spine1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c1-spine1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c1-spine2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c1-spine2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c1-spine2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c1-spine2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c1-spine2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c1-spine2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c1-spine2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c1-spine2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c1-spine2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c1-spine2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c1-spine2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c1-spine2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c1-spine2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c1-spine2,VerifyCoredump,success,,Verifies there are no core dump files.,System
c1-spine2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c1-spine2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c1-spine2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c1-spine2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c2-borderleaf1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c2-borderleaf1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c2-borderleaf1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c2-borderleaf1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c2-borderleaf1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c2-borderleaf1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
c2-borderleaf1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c2-borderleaf1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c2-borderleaf1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c2-borderleaf1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c2-borderleaf1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c2-borderleaf1,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
c2-borderleaf1,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
c2-borderleaf1,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
c2-borderleaf1,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
c2-borderleaf1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c2-borderleaf1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c2-borderleaf1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c2-borderleaf1,VerifyCoredump,success,,Verifies there are no core dump files.,System
c2-borderleaf1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c2-borderleaf1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c2-borderleaf1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c2-borderleaf1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c2-borderleaf1,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
c2-borderleaf2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c2-borderleaf2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c2-borderleaf2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c2-borderleaf2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c2-borderleaf2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c2-borderleaf2,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
c2-borderleaf2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c2-borderleaf2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c2-borderleaf2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c2-borderleaf2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c2-borderleaf2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c2-borderleaf2,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
c2-borderleaf2,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
c2-borderleaf2,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
c2-borderleaf2,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
c2-borderleaf2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c2-borderleaf2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c2-borderleaf2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c2-borderleaf2,VerifyCoredump,success,,Verifies there are no core dump files.,System
c2-borderleaf2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c2-borderleaf2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c2-borderleaf2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c2-borderleaf2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c2-borderleaf2,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
c2-leaf1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c2-leaf1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c2-leaf1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c2-leaf1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c2-leaf1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c2-leaf1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
c2-leaf1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c2-leaf1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c2-leaf1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c2-leaf1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c2-leaf1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c2-leaf1,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
c2-leaf1,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
c2-leaf1,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
c2-leaf1,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
c2-leaf1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c2-leaf1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c2-leaf1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c2-leaf1,VerifyCoredump,success,,Verifies there are no core dump files.,System
c2-leaf1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c2-leaf1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c2-leaf1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c2-leaf1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
c2-leaf1,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
c2-leaf2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
c2-leaf2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
c2-leaf2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
c2-leaf2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
c2-leaf2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
c2-leaf2,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
c2-leaf2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
c2-leaf2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
c2-leaf2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
c2-leaf2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
c2-leaf2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c2-leaf2,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
c2-leaf2,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
c2-leaf2,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
c2-leaf2,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
c2-leaf2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
c2-leaf2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
c2-leaf2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
c2-leaf2,VerifyCoredump,success,,Verifies there are no core dump files.,System
c2-leaf2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
c2-leaf2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
c2-leaf2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
c2-leaf2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
